mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2014-06	1	2	5	2	0	5	0	0	0	0	0	0	0	5	0	0	5	0	5
1	2014-07	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2014-08	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2014-09	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2014-10	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2014-11	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2014-12	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2015-01	1	2	6	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
8	2015-02	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2015-03	3	2	6	14	14	134	134	0	0	0	0	0	0	134	134	0	134	134	268
10	2015-04	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2015-05	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2015-06	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2015-07	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2015-08	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2015-09	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2015-10	1	2	7	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
17	2015-11	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2015-12	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2016-01	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2016-02	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2016-03	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2016-04	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2016-05	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2016-06	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2016-07	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2016-08	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2016-09	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2016-10	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2016-11	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2016-12	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2017-01	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2017-02	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2017-03	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2017-04	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2017-05	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2017-06	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	2017-07	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	2017-08	1	2	11	0	0	0	0	4	0	6	0	0	4	4	0	6	4	6	10
39	2017-09	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	2017-10	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	2017-11	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	2017-12	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	2018-01	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	2018-02	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	2018-03	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	2018-04	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	2018-05	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	2018-06	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	2018-07	1	2	12	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
50	2018-08	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	2018-09	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	2018-10	1	2	13	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	2
