trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1234373148		1234373148.sql	2009-02-11 17:25:48	0	0	0		48		297	48	0	297	0	0	0	0	0			297	0	0	297	0	297	
1	1237164239	1234373148.sql	1237164239.sql	2009-03-16 00:43:59	32	1	2	48	46	297	292	6	8	23	30	6	4	12	0	-2	-5	29	34	12	29	46	75	
2	1237208478	1237164239.sql	1237208478.sql	2009-03-16 13:01:18	32	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1237218277	1237208478.sql	1237218277.sql	2009-03-16 15:44:37	32	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1237253648	1237218277.sql	1237253648.sql	2009-03-17 01:34:08	33	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1237391769	1237253648.sql	1237391769.sql	2009-03-18 15:56:09	34	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1237392520	1237391769.sql	1237392520.sql	2009-03-18 16:08:40	34	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1237471882	1237392520.sql	1237471882.sql	2009-03-19 14:11:22	35	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	1237481892	1237471882.sql	1237481892.sql	2009-03-19 16:58:12	35	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1237572660	1237481892.sql	1237572660.sql	2009-03-20 18:11:00	37	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1237572808	1237572660.sql	1237572808.sql	2009-03-20 18:13:28	37	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	1237574023	1237572808.sql	1237574023.sql	2009-03-20 18:33:43	37	1	2	46	46	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	1237857462	1237574023.sql	1237857462.sql	2009-03-24 01:17:42	40	1	2	46	46	292	294	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	
13	1238121825	1237857462.sql	1238121825.sql	2009-03-27 02:43:45	43	1	2	46	47	294	299	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5	
14	1239235332	1238121825.sql	1239235332.sql	2009-04-09 00:02:12	56	1	2	47	48	299	301	1	0	2	0	1	1	6	0	1	2	3	1	6	3	7	10	
15	1241435169	1239235332.sql	1241435169.sql	2009-05-04 11:06:09	81	1	3	48	47	301	297	0	1	0	5	1	0	0	0	-1	-4	1	5	0	1	5	6	
16	1241730214	1241435169.sql	1241730214.sql	2009-05-07 21:03:34	85	1	3	47	47	297	297	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	
17	1245377084	1241730214.sql	1245377084.sql	2009-06-19 02:04:44	127	1	5	47	48	297	305	48	47	305	297	0	0	0	0	1	8	305	297	0	305	297	602	
18	1248223570	1245377084.sql	1248223570.sql	2009-07-22 00:46:10	160	1	6	48	48	305	304	48	48	304	305	0	0	0	0	0	-1	304	305	0	304	305	609	
19	1257375862	1248223570.sql	1257375862.sql	2009-11-04 23:04:22	266	1	9	48	50	304	313	3	1	9	5	7	2	0	0	2	9	16	7	0	16	7	23	
20	1257376170	1257375862.sql	1257376170.sql	2009-11-04 23:09:30	266	1	9	50	51	313	320	1	0	7	0	0	0	0	0	1	7	7	0	0	7	0	7	
21	1257387545	1257376170.sql	1257387545.sql	2009-11-05 02:19:05	266	1	9	51	51	320	329	0	0	0	0	10	1	3	0	0	9	10	1	3	10	4	14	
22	1268139768	1257387545.sql	1268139768.sql	2010-03-09 13:02:48	390	2	13	51	51	329	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	1268142021	1268139768.sql	1268142021.sql	2010-03-09 13:40:21	390	2	13	51	57	329	382	57	51	382	329	0	0	0	0	6	53	382	329	0	382	329	711	
24	1268415531	1268142021.sql	1268415531.sql	2010-03-12 17:38:51	394	2	14	57	57	382	383	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
25	1268676441	1268415531.sql	1268676441.sql	2010-03-15 18:07:21	397	2	14	57	57	383	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	1269721303	1268676441.sql	1269721303.sql	2010-03-27 20:21:43	409	2	14	57	57	383	385	0	0	0	0	3	1	0	0	0	2	3	1	0	3	1	4	
27	1269876626	1269721303.sql	1269876626.sql	2010-03-29 15:30:26	410	2	14	57	57	385	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	1270963400	1269876626.sql	1270963400.sql	2010-04-11 05:23:20	423	2	14	57	59	385	395	2	0	4	0	6	0	0	0	2	10	10	0	0	10	0	10	
29	1275492351	1270963400.sql	1275492351.sql	2010-06-02 15:25:51	475	2	16	59	59	395	401	0	0	0	0	7	1	1	0	0	6	7	1	1	7	2	9	
30	1275494700	1275492351.sql	1275494700.sql	2010-06-02 16:05:00	475	2	16	59	59	401	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	1282938855	1275494700.sql	1282938855.sql	2010-08-27 19:54:15	562	2	19	59	59	401	401	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
32	1288139094	1282938855.sql	1288139094.sql	2010-10-27 00:24:54	622	2	21	59	59	401	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33	1290311335	1288139094.sql	1290311335.sql	2010-11-21 03:48:55	647	2	22	59	59	401	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	1303880377	1290311335.sql	1303880377.sql	2011-04-27 04:59:37	804	3	27	59	59	401	402	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	2	
35	1303916686	1303880377.sql	1303916686.sql	2011-04-27 15:04:46	804	3	27	59	85	402	528	32	6	169	19	26	50	4	0	26	126	195	69	4	195	73	268	
36	1304007481	1303916686.sql	1304007481.sql	2011-04-28 16:18:01	805	3	27	85	85	528	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37	1304094671	1304007481.sql	1304094671.sql	2011-04-29 16:31:11	806	3	27	85	88	528	539	3	0	11	0	1	1	0	0	3	11	12	1	0	12	1	13	
38	1304787950	1304094671.sql	1304787950.sql	2011-05-07 17:05:50	814	3	27	88	88	539	540	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
39	1305005407	1304787950.sql	1305005407.sql	2011-05-10 05:30:07	817	3	27	88	88	540	540	0	0	0	0	3	3	0	0	0	0	3	3	0	3	3	6	
40	1305264403	1305005407.sql	1305264403.sql	2011-05-13 05:26:43	820	3	28	88	88	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41	1306160795	1305264403.sql	1306160795.sql	2011-05-23 14:26:35	830	3	28	88	88	540	542	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	
42	1306242594	1306160795.sql	1306242594.sql	2011-05-24 13:09:54	831	3	28	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43	1306242787	1306242594.sql	1306242787.sql	2011-05-24 13:13:07	831	3	28	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44	1306252813	1306242787.sql	1306252813.sql	2011-05-24 16:00:13	831	3	28	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45	1306384114	1306252813.sql	1306384114.sql	2011-05-26 04:28:34	833	3	28	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46	1306778226	1306384114.sql	1306778226.sql	2011-05-30 17:57:06	838	3	28	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47	1307278299	1306778226.sql	1307278299.sql	2011-06-05 12:51:39	843	3	28	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	1309618117	1307278299.sql	1309618117.sql	2011-07-02 14:48:37	870	3	29	88	88	542	542	0	0	0	0	0	0	28	0	0	0	0	0	28	0	28	28	
49	1309618531	1309618117.sql	1309618531.sql	2011-07-02 14:55:31	870	3	29	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50	1309618648	1309618531.sql	1309618648.sql	2011-07-02 14:57:28	870	3	29	88	88	542	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51	1309620135	1309618648.sql	1309620135.sql	2011-07-02 15:22:15	870	3	29	88	88	542	543	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
52	1309789238	1309620135.sql	1309789238.sql	2011-07-04 14:20:38	872	3	29	88	88	543	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53	1310835774	1309789238.sql	1310835774.sql	2011-07-16 17:02:54	884	3	30	88	88	543	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54	1311011574	1310835774.sql	1311011574.sql	2011-07-18 17:52:54	887	3	30	88	88	543	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55	1311073062	1311011574.sql	1311073062.sql	2011-07-19 10:57:42	887	3	30	88	88	543	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56	1311348729	1311073062.sql	1311348729.sql	2011-07-22 15:32:09	890	3	30	88	88	543	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57	1311480397	1311348729.sql	1311480397.sql	2011-07-24 04:06:37	892	3	30	88	88	543	544	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
58	1340381450	1311480397.sql	1340381450.sql	2012-06-22 16:10:50	1226	4	41	88	95	544	643	8	1	86	10	28	5	6	0	7	99	114	15	6	114	21	135	
59	1343018521	1340381450.sql	1343018521.sql	2012-07-23 04:42:01	1257	4	42	95	94	643	640	0	1	0	4	1	0	0	0	-1	-3	1	4	0	1	4	5	
60	1343052759	1343018521.sql	1343052759.sql	2012-07-23 14:12:39	1257	4	42	94	94	640	640	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
61	1343054421	1343052759.sql	1343054421.sql	2012-07-23 14:40:21	1257	4	42	94	94	640	644	0	0	0	0	4	0	0	0	0	4	4	0	0	4	0	4	
62	1343135708	1343054421.sql	1343135708.sql	2012-07-24 13:15:08	1258	4	42	94	94	644	644	0	0	0	0	0	0	6	0	0	0	0	0	6	0	6	6	
63	1343218320	1343135708.sql	1343218320.sql	2012-07-25 12:12:00	1259	4	42	94	94	644	644	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	
64	1344106890	1343218320.sql	1344106890.sql	2012-08-04 19:01:30	1270	4	42	94	94	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65	1344597033	1344106890.sql	1344597033.sql	2012-08-10 11:10:33	1275	4	42	94	94	644	647	0	0	0	0	3	0	0	0	0	3	3	0	0	3	0	3	
66	1344700758	1344597033.sql	1344700758.sql	2012-08-11 15:59:18	1276	4	42	94	93	647	644	0	1	0	3	0	0	0	0	-1	-3	0	3	0	0	3	3	
67	1344723662	1344700758.sql	1344723662.sql	2012-08-11 22:21:02	1277	4	43	93	94	644	647	1	0	3	0	0	0	0	0	1	3	3	0	0	3	0	3	
68	1344864251	1344723662.sql	1344864251.sql	2012-08-13 13:24:11	1278	4	43	94	94	647	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
69	1344866445	1344864251.sql	1344866445.sql	2012-08-13 14:00:45	1278	4	43	94	93	647	644	0	1	0	3	0	0	0	0	-1	-3	0	3	0	0	3	3	
70	1344869717	1344866445.sql	1344869717.sql	2012-08-13 14:55:17	1278	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
71	1344874065	1344869717.sql	1344874065.sql	2012-08-13 16:07:45	1278	4	43	93	93	644	644	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
72	1344933477	1344874065.sql	1344933477.sql	2012-08-14 08:37:57	1279	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
73	1345488827	1344933477.sql	1345488827.sql	2012-08-20 18:53:47	1286	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74	1345720851	1345488827.sql	1345720851.sql	2012-08-23 11:20:51	1288	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75	1345740435	1345720851.sql	1345740435.sql	2012-08-23 16:47:15	1288	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
76	1346047283	1345740435.sql	1346047283.sql	2012-08-27 06:01:23	1292	4	43	93	93	644	644	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
77	1346314380	1346047283.sql	1346314380.sql	2012-08-30 08:13:00	1295	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78	1346344444	1346314380.sql	1346344444.sql	2012-08-30 16:34:04	1295	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79	1346394698	1346344444.sql	1346394698.sql	2012-08-31 06:31:38	1296	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
80	1346487959	1346394698.sql	1346487959.sql	2012-09-01 08:25:59	1297	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	1346556353	1346487959.sql	1346556353.sql	2012-09-02 03:25:53	1298	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82	1346557985	1346556353.sql	1346557985.sql	2012-09-02 03:53:05	1298	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83	1346873075	1346557985.sql	1346873075.sql	2012-09-05 19:24:35	1302	4	43	93	93	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
84	1347205032	1346873075.sql	1347205032.sql	2012-09-09 15:37:12	1305	4	43	93	98	644	659	5	0	14	0	1	0	0	0	5	15	15	0	0	15	0	15	
85	1348137450	1347205032.sql	1348137450.sql	2012-09-20 10:37:30	1316	4	44	98	99	659	662	1	0	2	0	2	1	0	0	1	3	4	1	0	4	1	5	
86	1348502526	1348137450.sql	1348502526.sql	2012-09-24 16:02:06	1320	4	44	99	99	662	663	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
87	1348848887	1348502526.sql	1348848887.sql	2012-09-28 16:14:47	1324	4	44	99	99	663	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88	1350003218	1348848887.sql	1350003218.sql	2012-10-12 00:53:38	1338	4	45	99	99	663	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
89	1353402218	1350003218.sql	1353402218.sql	2012-11-20 09:03:38	1377	4	46	99	99	663	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90	1354253034	1353402218.sql	1354253034.sql	2012-11-30 05:23:54	1387	4	46	99	99	663	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91	1354439544	1354253034.sql	1354439544.sql	2012-12-02 09:12:24	1389	4	46	99	100	663	666	1	0	3	0	0	0	0	0	1	3	3	0	0	3	0	3	
92	1354441892	1354439544.sql	1354441892.sql	2012-12-02 09:51:32	1389	4	46	100	100	666	666	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
93	1354547184	1354441892.sql	1354547184.sql	2012-12-03 15:06:24	1390	4	46	100	100	666	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
94	1354589890	1354547184.sql	1354589890.sql	2012-12-04 02:58:10	1391	4	46	100	100	666	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
95	1354714802	1354589890.sql	1354714802.sql	2012-12-05 13:40:02	1392	4	46	100	100	666	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
96	1354983617	1354714802.sql	1354983617.sql	2012-12-08 16:20:17	1395	4	46	100	101	666	668	3	2	7	7	2	0	0	0	1	2	9	7	0	9	7	16	
97	1355066290	1354983617.sql	1355066290.sql	2012-12-09 15:18:10	1396	4	46	101	101	668	667	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1	
98	1355383912	1355066290.sql	1355383912.sql	2012-12-13 07:31:52	1400	4	47	101	101	667	665	0	0	0	0	0	2	0	0	0	-2	0	2	0	0	2	2	
99	1355439526	1355383912.sql	1355439526.sql	2012-12-13 22:58:46	1401	4	47	101	101	665	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	1355496034	1355439526.sql	1355496034.sql	2012-12-14 14:40:34	1401	4	47	101	101	665	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101	1355544856	1355496034.sql	1355544856.sql	2012-12-15 04:14:16	1402	4	47	101	102	665	669	1	0	4	0	0	0	0	0	1	4	4	0	0	4	0	4	
102	1355589626	1355544856.sql	1355589626.sql	2012-12-15 16:40:26	1402	4	47	102	109	669	699	7	0	30	0	0	0	0	0	7	30	30	0	0	30	0	30	
103	1355764690	1355589626.sql	1355764690.sql	2012-12-17 17:18:10	1404	4	47	109	109	699	699	0	0	0	0	0	0	33	0	0	0	0	0	33	0	33	33	
104	1355804575	1355764690.sql	1355804575.sql	2012-12-18 04:22:55	1405	4	47	109	109	699	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	1355825240	1355804575.sql	1355825240.sql	2012-12-18 10:07:20	1405	4	47	109	109	699	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
106	1356265761	1355825240.sql	1356265761.sql	2012-12-23 12:29:21	1410	4	47	109	109	699	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
107	1356516717	1356265761.sql	1356516717.sql	2012-12-26 10:11:57	1413	4	47	109	109	699	699	1	1	2	2	0	0	0	0	0	0	2	2	0	2	2	4	
108	1356581856	1356516717.sql	1356581856.sql	2012-12-27 04:17:36	1414	4	47	109	109	699	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
109	1356595320	1356581856.sql	1356595320.sql	2012-12-27 08:02:00	1414	4	47	109	109	699	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
110	1357221079	1356595320.sql	1357221079.sql	2013-01-03 13:51:19	1421	4	47	109	110	699	701	1	0	2	0	0	0	0	0	1	2	2	0	0	2	0	2	
111	1357232003	1357221079.sql	1357232003.sql	2013-01-03 16:53:23	1421	4	47	110	110	701	701	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
112	1357264153	1357232003.sql	1357264153.sql	2013-01-04 01:49:13	1422	4	47	110	110	701	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
113	1357283233	1357264153.sql	1357283233.sql	2013-01-04 07:07:13	1422	4	47	110	110	701	702	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
114	1357779035	1357283233.sql	1357779035.sql	2013-01-10 00:50:35	1428	4	47	110	110	702	702	0	0	0	0	0	0	19	0	0	0	0	0	19	0	19	19	
115	1358168652	1357779035.sql	1358168652.sql	2013-01-14 13:04:12	1432	4	48	110	110	702	702	0	0	0	0	0	0	19	0	0	0	0	0	19	0	19	19	
116	1358500805	1358168652.sql	1358500805.sql	2013-01-18 09:20:05	1436	4	48	110	109	702	700	0	1	0	2	0	0	0	0	-1	-2	0	2	0	0	2	2	
117	1358607874	1358500805.sql	1358607874.sql	2013-01-19 15:04:34	1437	4	48	109	109	700	700	1	1	2	2	0	0	0	0	0	0	2	2	0	2	2	4	
118	1359021839	1358607874.sql	1359021839.sql	2013-01-24 10:03:59	1442	4	48	109	110	700	698	1	0	3	0	0	5	0	0	1	-2	3	5	0	3	5	8	
119	1359140232	1359021839.sql	1359140232.sql	2013-01-25 18:57:12	1444	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
120	1359141776	1359140232.sql	1359141776.sql	2013-01-25 19:22:56	1444	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	1359142072	1359141776.sql	1359142072.sql	2013-01-25 19:27:52	1444	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122	1359143993	1359142072.sql	1359143993.sql	2013-01-25 19:59:53	1444	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123	1359168600	1359143993.sql	1359168600.sql	2013-01-26 02:50:00	1444	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
124	1359283394	1359168600.sql	1359283394.sql	2013-01-27 10:43:14	1445	4	48	110	110	698	698	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
125	1359378239	1359283394.sql	1359378239.sql	2013-01-28 13:03:59	1446	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	1359392592	1359378239.sql	1359392592.sql	2013-01-28 17:03:12	1446	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
127	1359462435	1359392592.sql	1359462435.sql	2013-01-29 12:27:15	1447	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
128	1359542842	1359462435.sql	1359542842.sql	2013-01-30 10:47:22	1448	4	48	110	110	698	698	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
129	1359545918	1359542842.sql	1359545918.sql	2013-01-30 11:38:38	1448	4	48	110	110	698	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
130	1359906971	1359545918.sql	1359906971.sql	2013-02-03 15:56:11	1452	4	48	110	110	698	694	0	0	0	0	0	4	0	0	0	-4	0	4	0	0	4	4	
131	1359953298	1359906971.sql	1359953298.sql	2013-02-04 04:48:18	1453	4	48	110	110	694	694	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	4	
132	1359987944	1359953298.sql	1359987944.sql	2013-02-04 14:25:44	1453	4	48	110	110	694	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
133	1359990053	1359987944.sql	1359990053.sql	2013-02-04 15:00:53	1453	4	48	110	110	694	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
134	1360320633	1359990053.sql	1360320633.sql	2013-02-08 10:50:33	1457	4	48	110	110	694	695	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
135	1360502650	1360320633.sql	1360502650.sql	2013-02-10 13:24:10	1459	4	48	110	110	695	695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
