Date	Author	NumAffectedFiles	Contains .sql
2008-09	Badlop,Christophe,Mickaël	39	2
2008-10	Badlop,Alexey,Christophe,Jérôme,Mickaël	93	1
2008-11	Badlop,Alexey,Christophe,Evgeniy,Mickaël	40	0
2008-12	Mickaël,Alexey,Evgeniy,Badlop,Christophe,Jérôme	107	0
2009-01	Badlop,Evgeniy,Jean-Sébastien,Mickaël,Alexey,Christophe	337	6
2009-02	Badlop,Evgeniy,Christophe,Alexey	79	0
2009-03	Badlop,Christophe,Evgeniy	65	0
2009-04	Christophe,Badlop,Evgeniy	117	0
2009-05	Christophe,Badlop,Mickaël,Evgeniy	138	0
2009-06	Badlop,Christophe,Mickaël,Evgeniy	228	1
2009-07	Christophe,Evgeniy,Geoff,Badlop,Mickaël	89	0
2009-08	Badlop,Christophe,Evgeniy,Pablo,Jérôme	339	7
2009-09	Badlop,Mickaël,Christophe,Evgeniy,Jérôme,Pablo	167	2
2009-10	Christophe,Badlop,Mickaël,Evgeniy	84	0
2009-11	Badlop,Evgeniy,Christophe	42	1
2009-12	Badlop,Christophe	113	0
2010-01	Martin,Evgeniy,Mickaël,Badlop,Christophe	251	4
2010-02	Peter,Badlop,Evgeniy,ekhramtsov,Pablo	54	0
2010-03	Peter,Pablo,Badlop,Evgeniy,Mickael,Christophe,Denis	71	1
2010-04	Badlop,Emilio,Evgeniy,Pablo	41	0
2010-05	Badlop,Christophe,Christopher,Tsukasa,Evgeniy	119	1
2010-06	Badlop,Christopher,Evgeniy,Peter,Jerome	63	0
2010-07	Badlop,Evgeniy	58	0
2010-08	Evgeniy,Badlop,Christophe	41	0
2010-09	Andreas,Evgeniy,Badlop	10	0
2010-10	Jonas,Badlop,Andreas,Evgeniy,Christophe	54	0
2010-11	Otavio,Badlop,Alexey,Andreas,Christophe,Evgeniy	192	1
2010-12	Badlop,Evgeniy,Alexey,W.,Christophe,Pablo	81	0
2011-01	Badlop,Mickaël	14	0
2011-02	Badlop,Evgeniy,Christophe	196	4
2011-03	Badlop	60	0
2011-04	Badlop,jabber,Evgeniy	25	2
2011-05	Badlop,Christophe,Evgeniy	62	0
2011-06	Alexey,Badlop,Evgeniy,Jerome	14	0
2011-07	Badlop,Maxim,Evgeniy,Alexey,Juan	36	0
2011-08	Christophe,Badlop,Pablo	50	0
2011-09	Badlop,Evgeniy,Maxim,Janusz,Christophe	78	0
2011-10	Badlop,Evgeniy	9	0
2011-11	Badlop,Christophe,Evgeniy	19	0
2011-12	Badlop,Alexey,Evgeniy,Pablo	39	0
2012-01	Alexey,Evgeniy,Badlop	10	0
2012-02	Alexey,Evgeniy,Badlop,Christophe	195	4
2012-03	Janusz,Alexey,Evgeniy,Badlop	14	2
2012-04	Evgeniy,Paweł,Badlop,Maxim,Christophe	221	8
2012-05	Badlop,Paweł	8	0
2012-06	Badlop	5	0
2012-07	Badlop,Janusz,Evgeniy	10	0
2012-08	Badlop	4	0
2012-09	Steven	1	0
2012-10	Evgeniy,Badlop	4	0
2012-11	Evgeniy,Alexey,Badlop	33	0
2012-12	Alexey,Remco,Evgeniy	3	0
2013-01	Badlop,Alexey,Evgeniy	178	4
2013-02	Badlop	13	0
2013-03	Paweł,Evgeniy,Badlop	226	2
2013-04	Badlop,Evgeniy,Stephen,Paul,Janusz,Christophe	344	4
2013-05	Badlop,Paul,Anton	5	0
2013-06	Evgeniy,Christophe,Badlop,Alexey,Jerome	208	0
2013-07	Evgeniy,tjeerd,Christopher,Tuncer,Badlop,Alexey	75	0
2013-08	Badlop,Evgeniy,Jerome,Christophe	78	0
2013-09	Christophe,Badlop,Evgeniy,Paweł	9	0
2013-10	Evgeniy,Badlop	4	1
2013-11	Pablo,Evgeniy,Alexey,Badlop	25	1
2013-12	Evgeniy,Christophe,Badlop,Mikhail-D	15	1
2014-01	Badlop,mrjameshamilton,Alexey	8	0
2014-02	Badlop,Evgeniy,Jamie,Holger	138	5
2014-03	Badlop,Sonny,Rahul,Holger,Evgeniy,iulianlaz	184	5
2014-04	Sonny,Badlop,Evgeniy,HAMANO,Holger,Paweł,Antonio	69	1
2014-05	Badlop,Sonny,Evgeniy,Holger,Christophe,bLaDe,Radosław,HAMANO,Nathan	117	0
2014-06	Christophe,Holger,Badlop,Evgeniy,HAMANO	33	0
2014-07	Alexey,Christophe,Ben,Holger,Evgeniy,Paweł,Nathan,Mathias,Matwey,Jerome	128	0
2014-08	Jerome,Evgeniy,Holger,vesvalo,Nathan	33	0
2014-09	Holger,Nathan,stewart,Evgeniy,Christophe	36	0
2014-10	Jerome,Evgeniy,Christophe,Holger,Gu,liudan	33	0
2014-11	Holger,Leif,Gu,Matthias	28	0
2014-12	Holger,Jerome,Christophe	23	0
2015-01	HAMANO,Mickaël,Badlop,Holger,Christophe,Nathan,Evgeniy,Taufan	203	5
2015-02	Paweł,Badlop,HAMANO,Holger,colm,Alexey,Ben,Feotov,Christophe,Mickae�?l	125	2
2015-03	Evgeniy,Sergey,Badlop,Paweł,Mickae�?l,Holger,Alexey,Christophe,Jerome,HAMANO	140	7
2015-04	Ben,Evgeniy,Christophe,Badlop,Johan,Holger,Alexey,Paweł,Jerome,Mickael,liudan	181	0
2015-05	Evgeniy,Badlop,Christophe,Holger,Mickael,Paweł,Evgeny,Matthias,Ben	123	3
2015-06	Holger,Johan,Mickael,Evgeniy,Badlop,Christophe,Paweł,jpegger,Cor	166	3
2015-07	Holger,Alexey,wcy123,Badlop,Paweł,Christophe,Evgeniy,Mickael,Jerome	90	0
2015-08	Evgeniy,Paweł,Holger,oxpa,Badlop,Christophe,Matthias,Alexey,Mickael	52	3
2015-09	Sonny,Paweł,Christophe,Badlop,Alexey,Johan,Holger,Evgeniy,Jerome,Quan,Mickael,Mickaël	195	5
2015-10	Evgeniy,Arno,Holger,Paweł,Christophe,colm,Badlop,Alexey,Sonny,Mickael	116	0
2015-11	Christophe,Evgeniy,Holger,Badlop,Nycholas,Alexey,Paweł,Sonny	146	0
2015-12	Badlop,Holger,Paweł,Evgeniy,Alexey,Christophe,GreenLunar,Mickael	210	1
2016-01	Paweł,HAMANO,Nathan,Evgeniy,Richard,Louis,Christophe,Mickael,Badlop,Shelley,Holger,Alexey,Matthias	344	3
2016-02	Alexey,Mickael,Paweł,Evgeniy,Holger,Christophe,Marek,Badlop,Christian,Victor,Nikolaus,Pablo	221	1
2016-03	Juan,Christophe,Mickael,Alexey,Evgeniy,Paweł,Holger,Badlop,Randy,HAMANO,root,Carlos,Elias,Balázs,Anton	225	6
2016-04	Tobias,Paweł,Christophe,Evgeniy,Mickael,Holger,Badlop,Matthias,richp10,genric	266	4
2016-05	Jerome,Paweł,Alexey,Christophe,Badlop,Holger,vthriller,Evgeniy,Matthias	122	0
2016-06	Evgeniy,Mickael,Holger,Pablo,Craig,Paweł,Christophe,Badlop,Alexey	91	0
2016-07	Mickael,Evgeniy,Christophe,Paweł,gabrielgatu,Holger,Alexey,Badlop,Pablo,Jerome,xmppjingle	383	0
2016-08	Christophe,Paweł,Evgeniy,Igor,Holger,Peter,Badlop,HAMANO,Mickael,Alexey	159	4
2016-09	Christophe,Evgeniy,Badlop,Holger,Alexey,Paweł,gabrielgatu,Mickael	262	0
2016-10	Badlop,Evgeniy,Prasad,Holger,Christophe,colm,Jerome,Paweł,Marc,Uku	142	0
2016-11	Paweł,Badlop,Christophe,Evgeniy,Holger,Johan,Rafael,Mickael	422	0
2016-12	Evgeniy,Badlop,Christophe,Holger,Paweł,Mickael	190	2
2017-01	Badlop,Christophe,Peter,Paweł,Evgeniy,PaweÅ,Alexey,Holger	558	4
2017-02	Evgeniy,Paweł,Jerome,Badlop,Holger,Christophe,Peter	474	6
2017-03	Evgeniy,Alexey,Christophe,Badlop,Holger,Paweł,Edward	267	19
2017-04	Evgeniy,Paweł,Badlop,KUROKI,Holger,Fernando,PaweÅ,getong,Christophe,michal,Alexey	421	0
2017-05	Christophe,Paweł,Badlop,Evgeniy,Holger,Konstantinos,Lamtei	314	4
2017-06	Jérôme,Paweł,Christophe,Alexey,Badlop,Konstantinos,Mickaël,Evgeniy,Marc,Holger,PaweÅ,Ivy,Rene	96	0
2017-07	Badlop,Konstantinos,Paweł,Christophe,Alexey,Marco,Holger,Ashish,Evgeniy	115	0
2017-08	Badlop,Evgeniy,Konstantinos,Paweł,Holger,Christophe,Mathias,PaweÅ,Jing	147	0
2017-09	Romain,Paweł,Christophe,Evgeniy,Holger,Badlop,Stu,Konstantinos	119	1
2017-10	Evgeniy,Paweł,Christophe,Holger,Badlop,Alexey,PaweÅ,Jorje,Carlos,Shelley,Maximilian	188	12
2017-11	Holger,Christophe,Alexey,Paweł,Evgeniy,Badlop,nosnilmot,Konstantinos,Maximilian	186	7
2017-12	Mickael,Evgeniy,Christophe,Paweł,Holger,Alexey,Badlop,Angelo,Randy,nosnilmot	146	2
2018-01	Paweł,Holger,Evgeniy,Christophe,Licaon_Kter,Mickaël,Marc	552	0
2018-02	Evgeniy,Stu,Yusro,Badlop,Paweł,Holger,Marc,Christophe,Tobias,phejman	111	10
2018-03	Pouriya,Evgeniy,Romain,Mickael,Paweł,Christophe,Badlop,Alexey,Holger,oxpa	66	0
2018-04	Evgeniy,Christophe,Paweł,tv,Holger,a-iv,Badlop	71	7
2018-05	Evgeniy,Stu,Licaon_Kter,Holger,Paweł,Rogério,Christophe,Badlop	70	0
2018-06	Victor,Evgeniy,Paweł,Christophe,Holger,Badlop,imShara	301	7
2018-07	Marcel,Badlop,Holger,Paweł,rouen-sk,Evgeniy,Stu,satish-olx,Licaon_Kter,Christoph	185	1
2018-08	Holger,Paweł,Evgeniy,Badlop	29	0
2018-09	Evgeny,Holger,Paweł,Christophe,Badlop,Marc,AquarHEAD,colm,root,Evgeniy	166	4
2018-10	AquarHEAD,Holger,Badlop,Paweł,HAMANO,Licaon_Kter,Christophe,Evgeny	37	0
2018-11	Paul,Badlop,Evgeny,Paweł,Christophe,Snowman,Mickael,Stu,Holger,Mickaël,Nathan,Alexey,Ave	75	0
2018-12	Mickael,Badlop,Holger,Evgeny,Paweł,Christophe,Alexey	123	13
2019-01	Christoph,Frank,Christophe,Paweł,Badlop,Evgeny,Holger	353	7
2019-02	Holger,Christophe,Evgeny,Paweł,Badlop	152	8
2019-03	Paweł,Badlop,Christophe,Evgeny,Holger,Alexey	36	0
2019-04	Paweł,Evgeny,Mickael,Badlop	105	0
2019-05	Mickaël,Paweł,Christophe,Evgeny,Holger,Alexey,Badlop,Mickael	70	2
