mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity	Reeds	ReedRatioAComm	ReedRatioTComm	ActivityDueToReeds	Turfs	TurfRatioAComm	TurfRatioTComm	ActivityDueToTurfs	ActiveCommits	ActiveCommitRatio
0	2018-01	1	31	247	31	0	247	0	0	0	0	0	0	0	247	0	0	247	0	247	1	1.0	1.0	247	0	0.0	0.0	0	1	1.0
1	2018-02	7	31	245	0	0	0	0	12	14	1	0	0	-2	12	14	1	12	15	27	1	0.19999999999999996	0.14	16	4	0.8	0.57	11	5	0.71
2	2018-03	9	34	269	3	0	17	0	17	10	7	0	3	24	34	10	7	34	17	51	0	0.0	0.0	0	9	1.0	1.0	51	9	1.0
3	2018-04	4	35	277	1	0	7	0	4	3	1	0	1	8	11	3	1	11	4	15	0	0.0	0.0	0	4	1.0	1.0	15	4	1.0
4	2018-05	9	36	284	1	0	5	0	10	8	7	0	1	7	15	8	7	15	15	30	0	0.0	0.0	0	8	1.0	0.89	30	8	0.89
5	2018-06	6	36	284	1	1	6	6	1	1	1	0	0	0	7	7	1	7	8	15	0	0.0	0.0	0	5	1.0	0.83	15	5	0.83
6	2018-07	4	34	276	1	3	5	16	7	4	1	0	-2	-8	12	20	1	12	21	33	1	0.25	0.25	25	3	0.75	0.75	8	4	1.0
7	2018-08	15	33	276	1	2	5	17	23	11	0	0	-1	0	28	28	0	28	28	56	1	0.07999999999999996	0.07	17	12	0.92	0.8	39	13	0.87
8	2018-09	1	33	277	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0.0	0.0	0	1	1.0	1.0	1	1	1.0
9	2018-10	6	35	289	2	0	11	0	4	3	1	0	2	12	15	3	1	15	4	19	0	0.0	0.0	0	5	1.0	0.83	19	5	0.83
10	2018-11	0	35	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
11	2018-12	1	35	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
12	2019-01	0	35	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
13	2019-02	3	35	291	0	0	0	0	3	1	1	0	0	2	3	1	1	3	2	5	0	0.0	0.0	0	3	1.0	1.0	5	3	1.0
14	2019-03	1	35	292	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0.0	0.0	0	1	1.0	1.0	1	1	1.0
