Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	2	0.0	0.0	0.0045351473922902496
1	0	0	0.018518518518518517	0.0	0.0045351473922902496
2	0	0	0.037037037037037035	0.0	0.0045351473922902496
3	0	0	0.05555555555555555	0.0	0.0045351473922902496
4	0	0	0.07407407407407407	0.0	0.0045351473922902496
5	0	0	0.09259259259259259	0.0	0.0045351473922902496
6	0	0	0.1111111111111111	0.0	0.0045351473922902496
7	0	0	0.12962962962962962	0.0	0.0045351473922902496
8	0	0	0.14814814814814814	0.0	0.0045351473922902496
9	0	0	0.16666666666666666	0.0	0.0045351473922902496
10	0	0	0.18518518518518517	0.0	0.0045351473922902496
11	0	18	0.2037037037037037	0.0	0.045351473922902494
12	0	40	0.2222222222222222	0.0	0.13605442176870747
13	0	37	0.24074074074074073	0.0	0.2199546485260771
14	0	4	0.25925925925925924	0.0	0.2290249433106576
15	55	196	0.2777777777777778	0.2534562211981567	0.673469387755102
16	26	36	0.2962962962962963	0.37327188940092165	0.7551020408163265
17	52	78	0.3148148148148148	0.6129032258064516	0.9319727891156462
18	28	15	0.3333333333333333	0.7419354838709677	0.9659863945578231
19	0	0	0.35185185185185186	0.7419354838709677	0.9659863945578231
20	0	4	0.37037037037037035	0.7419354838709677	0.9750566893424036
21	0	0	0.3888888888888889	0.7419354838709677	0.9750566893424036
22	0	1	0.4074074074074074	0.7419354838709677	0.9773242630385488
23	28	1	0.42592592592592593	0.8709677419354839	0.979591836734694
24	28	0	0.4444444444444444	1.0	0.979591836734694
25	0	0	0.46296296296296297	1.0	0.979591836734694
26	0	0	0.48148148148148145	1.0	0.979591836734694
27	0	5	0.5	1.0	0.9909297052154196
28	0	0	0.5185185185185185	1.0	0.9909297052154196
29	0	0	0.5370370370370371	1.0	0.9909297052154196
30	0	3	0.5555555555555556	1.0	0.997732426303855
31	0	0	0.5740740740740741	1.0	0.997732426303855
32	0	0	0.5925925925925926	1.0	0.997732426303855
33	0	0	0.6111111111111112	1.0	0.997732426303855
34	0	0	0.6296296296296297	1.0	0.997732426303855
35	0	0	0.6481481481481481	1.0	0.997732426303855
36	0	0	0.6666666666666666	1.0	0.997732426303855
37	0	0	0.6851851851851852	1.0	0.997732426303855
38	0	0	0.7037037037037037	1.0	0.997732426303855
39	0	0	0.7222222222222222	1.0	0.997732426303855
40	0	0	0.7407407407407407	1.0	0.997732426303855
41	0	0	0.7592592592592593	1.0	0.997732426303855
42	0	0	0.7777777777777778	1.0	0.997732426303855
43	0	0	0.7962962962962963	1.0	0.997732426303855
44	0	0	0.8148148148148148	1.0	0.997732426303855
45	0	0	0.8333333333333334	1.0	0.997732426303855
46	0	0	0.8518518518518519	1.0	0.997732426303855
47	0	0	0.8703703703703703	1.0	0.997732426303855
48	0	0	0.8888888888888888	1.0	0.997732426303855
49	0	0	0.9074074074074074	1.0	0.997732426303855
50	0	0	0.9259259259259259	1.0	0.997732426303855
51	0	0	0.9444444444444444	1.0	0.997732426303855
52	0	0	0.9629629629629629	1.0	0.997732426303855
53	0	0	0.9814814814814815	1.0	0.997732426303855
54	0	1	1.0	1.0	1.0
